qnum,Question,Responses,Male,Female,Democrat,Republican,Independent,White,Black,Non-white,18-39,40-64,65+,White protestant evangelical,North,Atlanta exurbs,Atlanta metro,Southeast,Southwest,Under $50k,$50k - $100k,$100k +,No college degree,College grad
20,"I am going to read you a list of issues. Please listen as I read the list and tell me, for each one, whether you have more confidence in (Hillary Clinton) or (Donald Trump) to deal with this issue: immigration?",Hillary Clinton,153,190,190,32,88,104,195,233,134,165,44,17,30,73,142,50,48,158,102,54,230,111
20,,,0.44,0.48,0.86,0.13,0.44,0.24,0.85,0.8,0.53,0.47,0.31,0.14,0.31,0.35,0.73,0.39,0.43,0.53,0.45,0.37,0.46,0.47
20,,Donald Trump,167,178,26,198,84,292,24,43,95,164,85,97,65,121,44,60,55,115,106,86,238,105
20,,,0.48,0.45,0.12,0.81,0.42,0.67,0.1,0.15,0.38,0.47,0.6,0.77,0.65,0.57,0.23,0.47,0.49,0.38,0.47,0.59,0.47,0.45
20,,Both equally,2,1,1,-,1,1,1,2,1,1,1,-,-,1,-,2,-,-,1,-,2,1
20,,,0.01,* ,0.01,- ,* ,* ,* ,0.01,* ,* ,* ,- ,- ,* ,- ,0.02,- ,- ,* ,- ,* ,* 
20,,Neither,18,19,1,9,21,26,7,7,10,16,10,6,3,9,6,12,6,16,13,4,22,13
20,,,0.05,0.05,* ,0.04,0.11,0.06,0.03,0.03,0.04,0.04,0.07,0.05,0.03,0.04,0.03,0.09,0.05,0.05,0.06,0.03,0.04,0.06
20,,Don't know/no answer,9,9,4,5,5,11,3,4,11,4,3,5,1,8,2,5,3,10,5,2,13,5
20,,,0.03,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.04,0.01,0.02,0.04,0.01,0.04,0.01,0.04,0.03,0.03,0.02,0.01,0.03,0.02
21,"You may have heard that Governor Deal vetoed Georgia's religious liberty bill. Supporters say the bill would protect people of any religion from government interference. Critics argued the bill would lead to discrimination against gays and lesbians. In your opinion, should Governor Deal have vetoed the religious liberty bill, or not?","Yes, should have vetoed",158,179,121,79,100,185,118,148,136,135,64,42,40,98,114,43,41,128,101,84,208,126
21,,,0.45,0.45,0.55,0.32,0.5,0.43,0.51,0.51,0.55,0.38,0.45,0.34,0.41,0.46,0.59,0.33,0.37,0.43,0.44,0.57,0.41,0.54
21,,"No, shouldNot have vetoed",158,170,77,141,78,198,94,118,86,187,55,67,50,95,64,65,56,139,101,55,241,86
