qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
5,,,0.576879154,0.607954545,0.55233853,0.383928571,0.559006211,0.690821256,0.323076923,0.455555556,0.462264151,0.642201835,0.685483871,0.727272727,0.729166667,0.38253012,0.526315789,0.684210526,0.627705628,0.62248996,0.513888889,0.650334076,0.56547619,0.421428571,0.555555556,0.607744108,0.5
5,,Unfavorable,123.3505424,41,82,54,22,47,8,22,27,16,12,18,46,73,4,7,37,30,46,52,27,41,28,79,8
5,,,0.153803669,0.116477273,0.182628062,0.241071429,0.136645963,0.11352657,0.123076923,0.244444444,0.254716981,0.146788991,0.096774194,0.102272727,0.106481481,0.219879518,0.105263158,0.122807018,0.16017316,0.120481928,0.212962963,0.115812918,0.160714286,0.292857143,0.282828283,0.132996633,0.114285714
5,,Don't know,215.9923762,97,119,84,49,81,36,27,30,23,27,30,71,132,14,11,49,64,59,105,46,40,16,154,27
5,,,0.269317177,0.275568182,0.265033408,0.375,0.304347826,0.195652174,0.553846154,0.3,0.283018868,0.211009174,0.217741935,0.170454545,0.164351852,0.397590361,0.368421053,0.192982456,0.212121212,0.257028112,0.273148148,0.233853007,0.273809524,0.285714286,0.161616162,0.259259259,0.385714286
6,Do you have a favorable or unfavorable impression of Andre Dickens?,Favorable,538.9013929,235,304,130,115,293,46,58,88,75,86,120,318,203,19,44,172,152,153,347,104,65,44,438,41
6,,,0.671946874,0.66572238,0.678571429,0.577777778,0.709876543,0.707729469,0.71875,0.637362637,0.822429907,0.688073394,0.693548387,0.681818182,0.736111111,0.611445783,0.5,0.75862069,0.744588745,0.608,0.708333333,0.774553571,0.615384615,0.464285714,0.44,0.737373737,0.585714286
6,,Unfavorable,57.38948162,17,40,17,2,39,0,8,4,4,7,20,31,21,5,5,18,12,16,20,11,27,18,32,5
6,,,0.071557957,0.04815864,0.089285714,0.075555556,0.012345679,0.094202899,0,0.087912088,0.037383178,0.036697248,0.056451613,0.113636364,0.071759259,0.063253012,0.131578947,0.086206897,0.077922078,0.048,0.074074074,0.044642857,0.065088757,0.192857143,0.18,0.053872054,0.071428571
6,,Don't know,205.7091255,101,104,78,45,82,18,25,15,30,31,36,83,108,14,9,41,86,47,81,54,48,38,124,24
