qnum,Question,Responses,Total,"Under $25,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,999","$100,000-$149,999","Over $150,000",Male,Female,Democrat,Independent,Republican,White,Non-white,18-30,31-45,46-64,65+,High School or Less,Some College,Vocational or Tech. School,College Graduate,Graduate Study
9,,,0.73,0.67,0.83,0.66,0.76,0.78,0.64,0.78,0.67,0.19,0.19,0.80,0.73,0.70,0.39,0.79,0.77,0.71,0.81,0.78,0.79,0.65,0.70
9,,Disapprove,93.79,2.00,6.00,18.00,14.00,20.00,21.00,43.00,51.00,14.00,24.00,50.00,87.00,6.00,15.00,11.00,30.00,36.00,6.00,20.00,3.00,42.00,22.00
9,,,0.18,0.08,0.12,0.23,0.16,0.19,0.25,0.17,0.20,0.67,0.75,0.11,0.18,0.18,0.54,0.15,0.16,0.17,0.08,0.17,0.09,0.22,0.23
9,,Don't know,45.35,6.00,3.00,9.00,6.00,4.00,9.00,11.00,34.00,3.00,2.00,39.00,41.00,4.00,2.00,5.00,11.00,25.00,8.00,5.00,4.00,23.00,6.00
9,,,0.09,0.25,0.06,0.11,0.07,0.04,0.11,0.04,0.13,0.14,0.06,0.09,0.09,0.12,0.07,0.07,0.06,0.12,0.11,0.04,0.12,0.12,0.06
10,Do you have a favorable or an unfavorable opinion of the Republican Party?,Approve,366.08,19.00,39.00,51.00,65.00,75.00,58.00,176.00,190.00,2.00,10.00,348.00,349.00,17.00,12.00,57.00,126.00,160.00,62.00,81.00,23.00,135.00,66.00
10,,,0.72,0.79,0.75,0.64,0.77,0.69,0.70,0.70,0.75,0.11,0.31,0.79,0.74,0.50,0.41,0.77,0.69,0.77,0.83,0.70,0.68,0.72,0.69
10,,Disapprove,111.54,4.00,11.00,23.00,14.00,26.00,22.00,62.00,49.00,15.00,20.00,68.00,98.00,13.00,15.00,15.00,44.00,37.00,10.00,27.00,7.00,43.00,23.00
10,,,0.22,0.17,0.21,0.29,0.17,0.24,0.27,0.25,0.19,0.79,0.63,0.15,0.21,0.38,0.52,0.20,0.24,0.18,0.13,0.23,0.21,0.23,0.24
10,,Don't know,29.37,1.00,2.00,6.00,5.00,7.00,3.00,13.00,16.00,2.00,2.00,23.00,26.00,4.00,2.00,2.00,13.00,11.00,3.00,7.00,4.00,10.00,6.00
10,,,0.06,0.04,0.04,0.08,0.06,0.06,0.04,0.05,0.06,0.11,0.06,0.05,0.05,0.12,0.07,0.03,0.07,0.05,0.04,0.06,0.12,0.05,0.06
11,Do you have a favorable or an unfavorable opinion of the Democratic Party? ,Approve,35.41,3.00,3.00,10.00,2.00,3.00,10.00,15.00,20.00,9.00,6.00,19.00,35.00,1.00,7.00,2.00,15.00,12.00,4.00,9.00,1.00,12.00,9.00
11,,,0.07,0.13,0.06,0.13,0.02,0.03,0.12,0.06,0.08,0.45,0.19,0.04,0.07,0.03,0.24,0.03,0.08,0.06,0.05,0.08,0.03,0.06,0.09
11,,Disapprove,443.55,18.00,47.00,64.00,77.00,102.00,69.00,226.00,217.00,7.00,20.00,406.00,417.00,27.00,20.00,70.00,156.00,186.00,66.00,100.00,31.00,166.00,79.00
11,,,0.87,0.75,0.92,0.81,0.92,0.94,0.83,0.90,0.85,0.35,0.63,0.93,0.88,0.79,0.69,0.93,0.85,0.89,0.89,0.87,0.91,0.88,0.83
11,,Don't know,28.04,3.00,1.00,5.00,5.00,4.00,4.00,10.00,18.00,4.00,6.00,13.00,22.00,6.00,2.00,3.00,12.00,10.00,4.00,6.00,2.00,10.00,7.00
11,,,0.06,0.13,0.02,0.06,0.06,0.04,0.05,0.04,0.07,0.20,0.19,0.03,0.05,0.18,0.07,0.04,0.07,0.05,0.05,0.05,0.06,0.05,0.07
12,Do you have a favorable or an unfavorable opinion of Delta Airlines?,Approve,296.88,10.00,18.00,47.00,46.00,76.00,55.00,152.00,145.00,12.00,25.00,253.00,281.00,15.00,18.00,44.00,110.00,117.00,29.00,58.00,13.00,134.00,63.00
12,,,0.59,0.42,0.35,0.59,0.55,0.70,0.66,0.61,0.57,0.57,0.76,0.58,0.59,0.45,0.64,0.59,0.60,0.56,0.39,0.51,0.38,0.71,0.66
12,,Disapprove,105.55,4.00,11.00,15.00,24.00,23.00,18.00,63.00,42.00,5.00,5.00,93.00,98.00,7.00,7.00,16.00,41.00,40.00,22.00,30.00,5.00,26.00,21.00
12,,,0.21,0.17,0.21,0.19,0.29,0.21,0.22,0.25,0.16,0.24,0.15,0.21,0.21,0.21,0.25,0.21,0.22,0.19,0.30,0.26,0.15,0.14,0.22
12,,Don't know,104.57,10.00,23.00,17.00,14.00,9.00,10.00,36.00,69.00,4.00,3.00,93.00,94.00,11.00,3.00,15.00,32.00,52.00,23.00,26.00,16.00,29.00,11.00
12,,,0.21,0.42,0.44,0.22,0.17,0.08,0.12,0.14,0.27,0.19,0.09,0.21,0.20,0.33,0.11,0.20,0.17,0.25,0.31,0.23,0.47,0.15,0.12
13,Do you have a favorable or an unfavorable opinion of Amazon?,Approve,328.15,11.00,26.00,48.00,57.00,81.00,60.00,146.00,182.00,13.00,28.00,280.00,310.00,18.00,16.00,56.00,125.00,120.00,37.00,70.00,18.00,128.00,75.00
13,,,0.65,0.46,0.50,0.61,0.68,0.75,0.73,0.58,0.71,0.65,0.88,0.64,0.65,0.55,0.57,0.74,0.68,0.58,0.50,0.61,0.53,0.68,0.80
13,,Disapprove,84.38,2.00,11.00,14.00,16.00,15.00,16.00,58.00,27.00,5.00,1.00,74.00,78.00,6.00,9.00,12.00,35.00,29.00,17.00,22.00,7.00,32.00,5.00
13,,,0.17,0.08,0.21,0.18,0.19,0.14,0.20,0.23,0.11,0.25,0.03,0.17,0.16,0.18,0.32,0.16,0.19,0.14,0.23,0.19,0.21,0.17,0.05
13,,Don't know,94.47,11.00,15.00,17.00,11.00,12.00,6.00,47.00,48.00,2.00,3.00,84.00,86.00,9.00,3.00,8.00,23.00,59.00,20.00,23.00,9.00,28.00,14.00
13,,,0.19,0.46,0.29,0.22,0.13,0.11,0.07,0.19,0.19,0.10,0.09,0.19,0.18,0.27,0.11,0.11,0.13,0.28,0.27,0.20,0.26,0.15,0.15
