qnum,Question,Responses,Total,Male,Female,High School or less,Some college,Vocational/Tech. School,College Graduate,Graduate Study,"$Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Black,Other (race),18-29,30-44,45-64,65+,Democrat,Independent,Republican
7,,,0.2,0.29010989,0.212389381,0.18699187,0.236686391,0.213114754,0.309090909,0.204460967,0.132075472,0.152,0.234042553,0.267515924,0.31547619,0.308988764,0.260802469,0.20890411,0.268292683,0.328571429,0.256038647,0.274314214,0.182130584,0.199029126,0.184210526,0.315668203
7,,Immigration,106,52,54,16,26,10,30,23,4,19,20,18,11,19,89,8,10,6,10,31,52,23,8,76
7,,,0.1,0.114285714,0.095575221,0.130081301,0.153846154,0.163934426,0.077922078,0.085501859,0.075471698,0.152,0.106382979,0.114649682,0.06547619,0.106741573,0.137345679,0.02739726,0.12195122,0.085714286,0.048309179,0.077306733,0.178694158,0.055825243,0.070175439,0.175115207
7,,Public schools,164,49,114,20,27,2,46,68,9,30,30,25,28,25,81,71,12,17,52,49,39,93,28,34
7,,,0.2,0.107692308,0.201769912,0.162601626,0.159763314,0.032786885,0.119480519,0.252788104,0.169811321,0.24,0.159574468,0.159235669,0.166666667,0.140449438,0.125,0.243150685,0.146341463,0.242857143,0.251207729,0.122194514,0.134020619,0.225728155,0.245614035,0.078341014
7,,Other,53,27,26,7,2,5,24,14,6,5,9,11,8,5,28,17,8,1,13,18,18,21,11,16
7,,,0.1,0.059340659,0.046017699,0.056910569,0.01183432,0.081967213,0.062337662,0.05204461,0.113207547,0.04,0.04787234,0.070063694,0.047619048,0.028089888,0.043209877,0.058219178,0.097560976,0.014285714,0.062801932,0.044887781,0.06185567,0.050970874,0.096491228,0.036866359
7,,Don’t know,57,21,37,8,12,2,21,8,3,5,11,6,4,7,36,13,9,3,7,18,19,19,5,19
7,,,0.1,0.046153846,0.065486726,0.06504065,0.071005917,0.032786885,0.054545455,0.029739777,0.056603774,0.04,0.058510638,0.038216561,0.023809524,0.039325843,0.055555556,0.044520548,0.109756098,0.042857143,0.033816425,0.044887781,0.065292096,0.046116505,0.043859649,0.043778802
8,In the 2016 presidential election which candidate did you vote for?,Donald Trump,449,231,218,63,82,40,170,90,18,48,78,75,77,91,418,6,25,20,55,190,159,3,30,394
8,,,0.4,0.506578947,0.385159011,0.508064516,0.488095238,0.655737705,0.441558442,0.334572491,0.346153846,0.380952381,0.414893617,0.477707006,0.455621302,0.511235955,0.645061728,0.020547945,0.3125,0.281690141,0.266990291,0.475,0.546391753,0.007281553,0.263157895,0.909930716
8,,Hillary Clinton,427,155,273,45,68,16,158,140,24,59,84,62,75,66,153,236,38,30,122,155,108,356,41,11
8,,,0.4,0.339912281,0.482332155,0.362903226,0.404761905,0.262295082,0.41038961,0.520446097,0.461538462,0.468253968,0.446808511,0.394904459,0.443786982,0.370786517,0.236111111,0.808219178,0.475,0.422535211,0.59223301,0.3875,0.371134021,0.86407767,0.359649123,0.025404157
8,,Gary Johnson,23,18,6,0,2,1,15,5,1,4,6,2,5,3,15,7,1,3,8,9,2,7,13,2
8,,,0.0,0.039473684,0.010600707,0,0.011904762,0.016393443,0.038961039,0.018587361,0.019230769,0.031746032,0.031914894,0.012738854,0.029585799,0.016853933,0.023148148,0.023972603,0.0125,0.042253521,0.038834951,0.0225,0.006872852,0.016990291,0.114035088,0.004618938
8,,Other candidate,28,9,18,0,1,0,15,11,3,1,4,4,4,6,22,5,1,3,3,14,6,7,10,10
8,,,0.0,0.019736842,0.03180212,0,0.005952381,0,0.038961039,0.040892193,0.057692308,0.007936508,0.021276596,0.025477707,0.023668639,0.033707865,0.033950617,0.017123288,0.0125,0.042253521,0.014563107,0.035,0.020618557,0.016990291,0.087719298,0.023094688
8,,Did not vote,37,23,15,6,9,3,15,4,5,7,9,8,3,4,14,18,5,13,8,10,5,19,8,7
8,,,0.0,0.050438596,0.026501767,0.048387097,0.053571429,0.049180328,0.038961039,0.014869888,0.096153846,0.055555556,0.04787234,0.050955414,0.017751479,0.02247191,0.021604938,0.061643836,0.0625,0.183098592,0.038834951,0.025,0.017182131,0.046116505,0.070175439,0.016166282
8,,Don't know,56,20,36,10,6,1,12,19,1,7,7,6,5,8,26,20,10,2,10,22,11,20,12,9
8,,,0.1,0.043859649,0.06360424,0.080645161,0.035714286,0.016393443,0.031168831,0.07063197,0.019230769,0.055555556,0.037234043,0.038216561,0.029585799,0.04494382,0.040123457,0.068493151,0.125,0.028169014,0.048543689,0.055,0.037800687,0.048543689,0.105263158,0.020785219
9,"Since President Trump's election, have you become more politically active, less politically active, or has your level of political activity stayed the same? ",More active,341,135,205,35,49,21,128,106,12,41,64,59,60,62,201,106,33,29,65,131,101,189,33,102
9,,,0.3,0.296703297,0.363475177,0.28,0.289940828,0.344262295,0.331606218,0.392592593,0.230769231,0.328,0.340425532,0.373417722,0.355029586,0.348314607,0.310185185,0.361774744,0.4125,0.408450704,0.314009662,0.328320802,0.348275862,0.459854015,0.289473684,0.235023041
